ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,start_dense_data,last_survey_point,rice,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-01-01,2008,1,Jan 2008,Jun 2024,,6.131639447682426,6.158862803306561,6.089634270880225,6.13619239978467,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-02-01,2008,2,Jan 2008,Jun 2024,,6.129398733197296,6.16339901101545,6.094179065199779,6.097984390485655,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-03-01,2008,3,Jan 2008,Jun 2024,,6.086001700931971,6.11959387481851,6.051241751143842,6.1133281348648225,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-04-01,2008,4,Jan 2008,Jun 2024,,6.112021509647091,6.144657625724376,6.0783071598577285,6.141929872924206,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-05-01,2008,5,Jan 2008,Jun 2024,,6.155388738762221,6.274517170176084,6.12264630650505,6.274517170176084,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-06-01,2008,6,Jan 2008,Jun 2024,,6.299831210752596,6.337851753278234,6.1661738708997955,6.1661738708997955,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-07-01,2008,7,Jan 2008,Jun 2024,,6.170426299407918,6.214168001593787,6.124683390894205,6.169673492028311,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-08-01,2008,8,Jan 2008,Jun 2024,,6.176303765264477,6.218002331490207,6.051806776114144,6.051806776114144,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-09-01,2008,9,Jan 2008,Jun 2024,,6.037847053288883,6.084203241658105,5.989237068117631,6.031670351822286,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-10-01,2008,10,Jan 2008,Jun 2024,,6.023762313407144,6.067846717026788,5.906968186629465,5.906968186629465,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-11-01,2008,11,Jan 2008,Jun 2024,,5.878519788091848,5.926339187147519,5.828298349353768,5.8821238989988345,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2008-12-01,2008,12,Jan 2008,Jun 2024,,5.864397927023624,5.909657784403891,5.789593131069312,5.789593131069312,,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-01-01,2009,1,Jan 2008,Jun 2024,,5.7535562818742765,5.799849943402434,5.705015048058747,5.751460909972942,-32.01,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-02-01,2009,2,Jan 2008,Jun 2024,,5.728052233628939,5.7719394413164835,5.682150174529087,5.73544262738407,-30.48,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-03-01,2009,3,Jan 2008,Jun 2024,,5.702014245593553,5.817735964732046,5.657389435086491,5.817735964732046,-25.65,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-04-01,2009,4,Jan 2008,Jun 2024,,5.806369146764632,5.852116269161895,5.758396914596079,5.799577385444326,-29.05,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-05-01,2009,5,Jan 2008,Jun 2024,,5.77430306747132,5.8437472950009575,5.7278570100973765,5.8437472950009575,-35.06,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-06-01,2009,6,Jan 2008,Jun 2024,,5.838080240208625,5.881900765647841,5.792220611118078,5.8382259512056915,-28.02,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-07-01,2009,7,Jan 2008,Jun 2024,,5.817825190696861,5.860529780330725,5.773215249371538,5.797394243279479,-31.15,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-08-01,2009,8,Jan 2008,Jun 2024,,5.789501350058739,5.8378470584423825,5.746937744970129,5.8378470584423825,-19.31,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-09-01,2009,9,Jan 2008,Jun 2024,,5.821269170111868,5.861982089329746,5.778828102311668,5.80169532517887,-20.59,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-10-01,2009,10,Jan 2008,Jun 2024,,5.794536837924666,5.833552636043784,5.753936787316924,5.823341709713841,-8.04,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-11-01,2009,11,Jan 2008,Jun 2024,,5.808832942254095,5.847161057501548,5.768977030555902,5.838662956850019,-4.27,8.9
MMR,Myanmar,Mon,Thaton,Bilin Myo Ma Market,17.22146,97.23585,gid_172214600972358500,2009-12-01,2009,12,Jan 2008,Jun 2024,,5.835366138354305,5.872371278471126,5.796938821475121,5.862579486403199,7.59,8.9
