ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,start_dense_data,last_survey_point,rice,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-01-01,2008,1,Jan 2008,Jun 2024,,6.229023692656502,6.252982299539083,6.177113893994611,6.226595956067519,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-02-01,2008,2,Jan 2008,Jun 2024,,6.21332727852247,6.2505542251956605,6.174681536216069,6.183715807479658,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-03-01,2008,3,Jan 2008,Jun 2024,,6.169422430244873,6.206313795597372,6.131117787923166,6.193384461970565,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-04-01,2008,4,Jan 2008,Jun 2024,,6.184416896257962,6.220729325427127,6.146736027175357,6.210479587838412,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-05-01,2008,5,Jan 2008,Jun 2024,,6.217583667023721,6.358743073830905,6.18088584101716,6.358743073830905,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-06-01,2008,6,Jan 2008,Jun 2024,,6.364268712976585,6.403408621313855,6.236017277659691,6.236017277659691,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-07-01,2008,7,Jan 2008,Jun 2024,,6.247443081515765,6.288434602396033,6.204699166712067,6.269967116542469,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-08-01,2008,8,Jan 2008,Jun 2024,,6.272971341719106,6.313620507419839,6.15047482849259,6.15047482849259,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-09-01,2008,9,Jan 2008,Jun 2024,,6.153689683452774,6.19601633773106,6.109491997337135,6.157868420429562,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-10-01,2008,10,Jan 2008,Jun 2024,,6.152647584699372,6.19448702042597,6.058492155396318,6.058492155396318,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-11-01,2008,11,Jan 2008,Jun 2024,,6.050959118893622,6.093524622299129,5.985245247294065,5.985245247294065,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2008-12-01,2008,12,Jan 2008,Jun 2024,,5.971797410632506,6.014497246218554,5.8881574772420535,5.8881574772420535,,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-01-01,2009,1,Jan 2008,Jun 2024,,5.869720552199632,5.91293527694326,5.782778480882699,5.782778480882699,-35.91,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-02-01,2009,2,Jan 2008,Jun 2024,,5.761705410989152,5.8184792712910145,5.716040372051703,5.8184792712910145,-30.66,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-03-01,2009,3,Jan 2008,Jun 2024,,5.792708683850602,5.921015258417331,5.747129279159567,5.921015258417331,-23.89,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-04-01,2009,4,Jan 2008,Jun 2024,,5.893162395817602,5.939197094171505,5.844934754412085,5.871215974511807,-28.83,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-05-01,2009,5,Jan 2008,Jun 2024,,5.852231214993798,5.896934063261749,5.805436128382701,5.896301856426602,-37.09,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-06-01,2009,6,Jan 2008,Jun 2024,,5.877119345323122,5.921256652064486,5.83094362027288,5.834372044359803,-33.14,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-07-01,2009,7,Jan 2008,Jun 2024,,5.81910322210828,5.8624657239958635,5.773805926024342,5.796452809497509,-37.79,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-08-01,2009,8,Jan 2008,Jun 2024,,5.781175521229973,5.823755702681873,5.736733574795887,5.8222171498013,-28.04,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-09-01,2009,9,Jan 2008,Jun 2024,,5.80432138503481,5.846467676374181,5.760320325616459,5.79182387654356,-30.72,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-10-01,2009,10,Jan 2008,Jun 2024,,5.777156844456171,5.883935014165315,5.734150011272598,5.883935014165315,-16.05,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-11-01,2009,11,Jan 2008,Jun 2024,,5.86578793901998,5.90876205534274,5.820913445912943,5.84479001776017,-13.14,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2009-12-01,2009,12,Jan 2008,Jun 2024,,5.833699008209915,5.875576589656054,5.789990751469419,5.870031106824451,-1.8,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2010-01-01,2010,1,Jan 2008,Jun 2024,,5.859189507798163,5.931502205935299,5.816098742880033,5.931502205935299,16.08,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2010-02-01,2010,2,Jan 2008,Jun 2024,,5.9206396413277025,5.962241688431079,5.877231452946558,5.915986405932025,10.27,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2010-03-01,2010,3,Jan 2008,Jun 2024,,5.910200260277018,5.950798790381967,5.867855196393359,5.9091421596044835,-1.18,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2010-04-01,2010,4,Jan 2008,Jun 2024,,5.905062075606864,5.956199998007671,5.863602766103642,5.956199998007671,8.89,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2010-05-01,2010,5,Jan 2008,Jun 2024,,5.950824827641287,5.990514095571987,5.909494984240731,5.916741000912046,2.07,8.9
MMR,Myanmar,Yangon,Yangon (East),88 ward,16.84758,96.27097,gid_168475800962709700,2010-06-01,2010,6,Jan 2008,Jun 2024,,5.915527981018041,5.954567133004164,5.867034468729805,5.867034468729805,3.33,8.9
